 ,location,date,new_cases
495,China,31/05/2021,26
496,China,01/06/2021,36
497,China,02/06/2021,39
498,China,03/06/2021,38
499,China,04/06/2021,42
500,China,05/06/2021,52
501,China,06/06/2021,29
502,China,07/06/2021,51
503,China,08/06/2021,20
504,China,09/06/2021,28
505,China,10/06/2021,47
506,China,11/06/2021,56
507,China,12/06/2021,59
508,China,13/06/2021,34
509,China,14/06/2021,41
510,China,15/06/2021,45
511,China,16/06/2021,53
512,China,17/06/2021,43
513,China,18/06/2021,50
514,China,19/06/2021,62
515,China,20/06/2021,28
516,China,21/06/2021,40
517,China,22/06/2021,42
518,China,23/06/2021,25
519,China,24/06/2021,35
520,China,25/06/2021,43
521,China,26/06/2021,35
522,China,27/06/2021,41
523,China,28/06/2021,37
524,China,29/06/2021,35
525,China,30/06/2021,20
526,China,01/07/2021,33
527,China,02/07/2021,42
528,China,03/07/2021,25
529,China,04/07/2021,38
530,China,05/07/2021,35
531,China,06/07/2021,82
532,China,07/07/2021,55
533,China,08/07/2021,30
534,China,09/07/2021,48
535,China,10/07/2021,13
536,China,11/07/2021,67
537,China,12/07/2021,38
538,China,13/07/2021,43
539,China,14/07/2021,34
540,China,15/07/2021,43
541,China,16/07/2021,49
542,China,17/07/2021,44
543,China,18/07/2021,54
544,China,19/07/2021,78
545,China,20/07/2021,18
546,China,21/07/2021,94
547,China,22/07/2021,58
548,China,23/07/2021,61
549,China,24/07/2021,48
550,China,25/07/2021,86
551,China,26/07/2021,82
552,China,27/07/2021,96
553,China,28/07/2021,57
554,China,29/07/2021,78
555,China,30/07/2021,76
556,China,31/07/2021,93
557,China,01/08/2021,129
558,China,02/08/2021,143
559,China,03/08/2021,133
560,China,04/08/2021,92
561,China,05/08/2021,177
562,China,06/08/2021,159
563,China,07/08/2021,122
564,China,08/08/2021,131
565,China,09/08/2021,139
566,China,10/08/2021,105
567,China,11/08/2021,92
568,China,12/08/2021,136
569,China,13/08/2021,67
570,China,14/08/2021,65
571,China,15/08/2021,76
572,China,16/08/2021,53
573,China,17/08/2021,44
574,China,18/08/2021,63
575,China,19/08/2021,57
576,China,20/08/2021,48
577,China,21/08/2021,49
578,China,22/08/2021,40
579,China,23/08/2021,48
580,China,24/08/2021,24
581,China,25/08/2021,34
582,China,26/08/2021,47
583,China,27/08/2021,40
584,China,28/08/2021,39
585,China,29/08/2021,39
586,China,30/08/2021,57
587,China,31/08/2021,29
588,China,01/09/2021,40
589,China,02/09/2021,46
590,China,03/09/2021,46
591,China,04/09/2021,43
592,China,05/09/2021,38
593,China,06/09/2021,49
594,China,07/09/2021,26
595,China,08/09/2021,39
596,China,09/09/2021,23
597,China,10/09/2021,45
