Location,TIME,GDP/hourworked,Hours worked/week
KOR,2013,34,2106
KOR,2014,35,2076
KOR,2015,36,2083
KOR,2016,37,2068
KOR,2017,38,2018
KOR,2018,40,1993
KOR,2019,41,1967
KOR,2020,42,1908
LUX,2021,43,1915
LUX,1995,89,1615
LUX,1996,90,1593
LUX,1997,91,1600
LUX,1998,93,1599
LUX,1999,96,1598
LUX,2000,97,1605
LUX,2001,96,1593
LUX,2002,96,1588
LUX,2003,97,1586
LUX,2004,99,1586
LUX,2005,100,1567
LUX,2006,102,1567
LUX,2007,105,1581
LUX,2008,100,1581
LUX,2009,99,1518
LUX,2010,101,1521
LUX,2011,99,1520
LUX,2012,99,1514
LUX,2013,101,1506
LUX,2014,101,1512
LUX,2015,100,1519
LUX,2016,102,1518
LUX,2017,100,1508
LUX,2018,99,1509
LUX,2019,98,1507
LUX,2020,101,1420
MEX,2021,99,1382
MEX,1991,20,2113
MEX,1992,20,2104
MEX,1993,20,2112
MEX,1994,20,2146
MEX,1995,19,2161
MEX,1996,19,2192
MEX,1997,19,2241
MEX,1998,20,2168
MEX,1999,19,2242
MEX,2000,20,2174
MEX,2001,21,2146
MEX,2002,20,2196
MEX,2003,20,2143
MEX,2004,21,2123
MEX,2005,20,2105
MEX,2006,21,2067
MEX,2007,21,2045
MEX,2008,20,2105
MEX,2009,20,1973
MEX,2010,19,2150
MEX,2011,20,2121
MEX,2012,20,2120
MEX,2013,20,2136
MEX,2014,20,2134.059597
MEX,2015,21,2139.893302
MEX,2016,21,2145.887587
MEX,2017,21,2148.538495
MEX,2018,21,2149.408162
MEX,2019,20,2138.889734
MEX,2020,20,2123.537252
NLD,2021,20,2127.807987
NLD,1970,30,1809
NLD,1971,32,1777
NLD,1972,33,1775
NLD,1973,35,1749
NLD,1974,37,1696
NLD,1975,39,1644
NLD,1976,40,1628
NLD,1977,42,1608
NLD,1978,43,1580
NLD,1979,43,1559
NLD,1980,44,1556
NLD,1981,44,1556
NLD,1982,44,1542
NLD,1983,46,1527
NLD,1984,48,1519
NLD,1985,48,1502
NLD,1986,49,1488
NLD,1987,50,1467
NLD,1988,51,1464
NLD,1989,52,1459
NLD,1990,52,1454
NLD,1991,53,1444
NLD,1992,53,1451
NLD,1993,54,1440
NLD,1994,55,1447
NLD,1995,54,1481.5582
NLD,1996,54,1496.450404
NLD,1997,55,1481.967312
NLD,1998,57,1478.721839
NLD,1999,58,1477.174053
NLD,2000,60,1464.061441
NLD,2001,60,1454.07685
NLD,2002,61,1436.376646
NLD,2003,62,1427.827804
NLD,2004,63,1447.895232
NLD,2005,64,1433.611871
NLD,2006,65,1430.447131
NLD,2007,66,1429.172025
NLD,2008,66,1428.566237
NLD,2009,65,1420.047064
NLD,2010,66,1419.633443
NLD,2011,66,1420.180237
NLD,2012,66,1410.509788
NLD,2013,67,1414.698958
NLD,2014,67,1425.595301
NLD,2015,68,1425.813579
NLD,2016,68,1437.309404
NLD,2017,68,1436.765644
NLD,2018,68,1436.060162
NLD,2019,67,1438.520121
NLD,2020,67,1406.867037
NZL,2021,68,1416.542666
NZL,1986,27,1834
NZL,1987,27,1838
NZL,1988,29,1829
NZL,1989,30,1820
NZL,1990,31,1809
NZL,1991,31,1792
NZL,1992,32,1799
NZL,1993,33,1853
NZL,1994,33,1848
NZL,1995,33,1841
NZL,1996,33,1834
NZL,1997,34,1826
NZL,1998,34,1829
NZL,1999,34,1845
NZL,2000,35,1836
NZL,2001,36,1825
NZL,2002,36,1826
NZL,2003,37,1823
NZL,2004,37,1830
NZL,2005,37,1815
NZL,2006,37,1795
NZL,2007,39,1774
NZL,2008,38,1761
NZL,2009,40,1740
NZL,2010,39,1755
NZL,2011,40,1746
NZL,2012,42,1734
NZL,2013,41,1756
NZL,2014,41,1758
NZL,2015,42,1753
NZL,2016,41,1754
NZL,2017,41,1756
NZL,2018,42,1759
NZL,2019,42,1783
NZL,2020,42,1739
NOR,2021,43,1730
NOR,1970,28,1819.1
NOR,1971,30,1798.1
NOR,1972,32,1765.6
NOR,1973,33,1751.5
NOR,1974,35,1730.9
NOR,1975,36,1715.3
NOR,1976,38,1662.9
NOR,1977,39,1627.4
NOR,1978,41,1591.6
NOR,1979,43,1569.4
NOR,1980,44,1569.4
NOR,1981,44,1560.5
NOR,1982,45,1549.4
NOR,1983,47,1542.8
NOR,1984,49,1537.9
NOR,1985,51,1532
NOR,1986,51,1527.8
NOR,1987,52,1500.8
NOR,1988,52,1503.6
NOR,1989,54,1500.6
NOR,1990,56,1492.8
NOR,1991,58,1490.2
NOR,1992,60,1499.6
NOR,1993,62,1496.8
NOR,1994,64,1494.9
NOR,1995,66,1478.3
NOR,1996,68,1473.6
NOR,1997,70,1468.4
NOR,1998,70,1466.6
NOR,1999,71,1465.5
NOR,2000,73,1448.1
NOR,2001,76,1424
NOR,2002,78,1411.8
NOR,2003,80,1401
NOR,2004,82,1423.1
NOR,2005,83,1428.5
NOR,2006,82,1426.4
NOR,2007,81,1438.3
NOR,2008,78,1443
NOR,2009,78,1421.8
NOR,2010,79,1429.8
NOR,2011,78,1434.7
NOR,2012,79,1431.1
NOR,2013,79,1421.3
NOR,2014,80,1424.1
NOR,2015,81,1426.6
NOR,2016,81,1430
NOR,2017,83,1419.5
NOR,2018,83,1419.2
NOR,2019,82,1418.6
NOR,2020,83,1410.7
POL,2021,84,1427.1
POL,1993,15,1903.244908
POL,1994,15,1940.738476
POL,1995,16,1903.244908
POL,1996,17,1917.528172
POL,1997,18,1912.171948
POL,1998,19,1888.961644
POL,1999,21,1874.979783
POL,2000,22,1858.339547
POL,2001,23,1860.119145
POL,2002,24,1855.463096
POL,2003,25,1860.54875
POL,2004,26,1860.87077
POL,2005,27,1855.974844
POL,2006,27,1857.341622
POL,2007,28,1854.69472
POL,2008,28,1847.540166
POL,2009,29,1833.61402
POL,2010,31,1828.971957
POL,2011,33,1824.329859
POL,2012,33,1819.687805
POL,2013,33,1816.433541
POL,2014,34,1822.296217
POL,2015,35,1829.158638
POL,2016,36,1831.363798
POL,2017,37,1811.616217
POL,2018,40,1787.328604
POL,2019,42,1782.625219
POL,2020,41,1768.756397
PRT,2021,42,1830.236807
PRT,1970,16,1963.478975
PRT,1971,17,1950.573479
PRT,1972,18,1938.589805
PRT,1973,21,1926.60613
PRT,1974,20,1914.622456
PRT,1975,18,1903.560602
PRT,1976,19,1892.498749
PRT,1977,20,1881.436895
PRT,1978,21,1870.375042
PRT,1979,22,1859.313189
PRT,1980,23,1849.173156
PRT,1981,23,1838.111303
PRT,1982,24,1827.04945
PRT,1983,23,1816.909417
PRT,1984,22,1805.847564
PRT,1985,23,1795.707532
PRT,1986,24,1784.645678
PRT,1987,25,1799.394816
PRT,1988,26,1798.472995
PRT,1989,27,1817.831238
PRT,1990,28,1805.847564
PRT,1991,29,1739.476444
PRT,1992,30,1682.323535
PRT,1993,30,1684.167177
PRT,1994,30,1691.541746
PRT,1995,31,1749.354882
PRT,1996,31,1750.325897
PRT,1997,32,1745.670763
PRT,1998,32,1759.927891
PRT,1999,33,1761.55795
PRT,2000,33,1770.413681
PRT,2001,34,1755.083781
PRT,2002,34,1748.680245
PRT,2003,34,1742.200483
PRT,2004,35,1747.852204
PRT,2005,35,1749.749478
PRT,2006,36,1738.865529
PRT,2007,36,1754.672355
PRT,2008,37,1742.57685
PRT,2009,37,1742.975244
PRT,2010,38,1745.595013
PRT,2011,38,1724.362341
PRT,2012,39,1708.217947
PRT,2013,39,1717.553371
PRT,2014,39,1724.575505
PRT,2015,39,1731.733511
PRT,2016,39,1737.476064
PRT,2017,39,1727.140473
PRT,2018,39,1737.703752
PRT,2019,40,1743.930319
PRT,2020,40,1611.193462
SVK,2021,41,1648.942749
SVK,1995,19,1853
SVK,1996,20,1820
SVK,1997,21,1830
SVK,1998,23,1822
SVK,1999,23,1816
SVK,2000,24,1816
SVK,2001,25,1801
SVK,2002,27,1754
SVK,2003,29,1698
SVK,2004,29,1742
SVK,2005,30,1769
SVK,2006,32,1774
SVK,2007,35,1791
SVK,2008,35,1793
SVK,2009,34,1780
SVK,2010,37,1805
SVK,2011,37,1793
SVK,2012,38,1789
SVK,2013,39,1772
SVK,2014,40,1760
SVK,2015,41,1754
SVK,2016,41,1740
SVK,2017,42,1713.783841
SVK,2018,43,1703.923961
SVK,2019,44,1691.986308
SVK,2020,47,1571.980392
ESP,2021,48,1583.159408
ESP,1977,27,2036.3
ESP,1978,28,2004.9
ESP,1979,29,1954.3
ESP,1980,31,1936
ESP,1981,32,1901.6
ESP,1982,33,1880.3
ESP,1983,34,1847.9
ESP,1984,37,1803.4
ESP,1985,38,1793.3
ESP,1986,39,1785.2
ESP,1987,39,1777.1
ESP,1988,40,1773
ESP,1989,41,1760.9
ESP,1990,41,1762.9
ESP,1991,41,1772
ESP,1992,42,1763.9
ESP,1993,43,1755.8
ESP,1994,44,1754.8
ESP,1995,45,1754.8
ESP,1996,45,1749.7
ESP,1997,45,1749.7
ESP,1998,45,1753.8
ESP,1999,45,1753.8
ESP,2000,45,1752.8
ESP,2001,45,1762.1
ESP,2002,45,1763.6
ESP,2003,45,1754.6
ESP,2004,45,1739.9
ESP,2005,46,1723.7
ESP,2006,46,1713.7
ESP,2007,46,1701.3
ESP,2008,46,1710.1
ESP,2009,48,1715.8
ESP,2010,49,1705.8
ESP,2011,50,1710.7
ESP,2012,50,1696.7
ESP,2013,51,1689.8
ESP,2014,51,1690.6
ESP,2015,52,1694.2
ESP,2016,52,1701.5
ESP,2017,52,1692.4
ESP,2018,52,1697.621952
ESP,2019,53,1682.936419
ESP,2020,53,1569.672186
SWE,2021,52,1640.9407
SWE,1970,31,1562.487439
SWE,1971,32,1533.585938
SWE,1972,33,1497.45906
SWE,1973,34,1483.00831
SWE,1974,35,1465.848043
SWE,1975,36,1444.171917
SWE,1976,36,1452.300464
SWE,1977,36,1427.914822
SWE,1978,37,1391.787945
SWE,1979,39,1381.853053
SWE,1980,39,1380.04671
SWE,1981,39,1371.918162
SWE,1982,39,1384.562569
SWE,1983,40,1393.594288
SWE,1984,41,1396.303804
SWE,1985,41,1399.916492
SWE,1986,42,1398.110148
SWE,1987,43,1407.141867
SWE,1988,43,1425.205306
SWE,1989,44,1423.398962
SWE,1990,44,1420.689446
SWE,1991,44,1408.045039
SWE,1992,45,1424.302134
SWE,1993,46,1440.559229
SWE,1994,47,1474.879762
SWE,1995,48,1481.560139
SWE,1996,49,1492.865029
SWE,1997,51,1497.285552
SWE,1998,52,1496.337218
SWE,1999,53,1504.891358
SWE,2000,55,1485.5955
SWE,2001,55,1464.500087
SWE,2002,57,1443.663428
SWE,2003,60,1431.29835
SWE,2004,62,1452.612399
SWE,2005,63,1451.475685
SWE,2006,65,1450.117268
SWE,2007,65,1461.686702
SWE,2008,64,1471.282755
SWE,2009,63,1457.931614
