LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
IRL,LTINT,TOT,PC_PA,M,2019-12,0.037,
IRL,LTINT,TOT,PC_PA,M,2020-01,0.004,
IRL,LTINT,TOT,PC_PA,M,2020-02,-0.131,
IRL,LTINT,TOT,PC_PA,M,2020-03,0.07,
IRL,LTINT,TOT,PC_PA,M,2020-04,0.2012,
IRL,LTINT,TOT,PC_PA,M,2020-05,0.1072,
IRL,LTINT,TOT,PC_PA,M,2020-06,0.0835,
IRL,LTINT,TOT,PC_PA,M,2020-07,-0.0473,
IRL,LTINT,TOT,PC_PA,M,2020-08,-0.1219,
IRL,LTINT,TOT,PC_PA,M,2020-09,-0.1276,
IRL,LTINT,TOT,PC_PA,M,2020-10,-0.2224,
IRL,LTINT,TOT,PC_PA,M,2020-11,-0.251,
IRL,LTINT,TOT,PC_PA,M,2020-12,-0.2903,
IRL,LTINT,TOT,PC_PA,M,2021-01,-0.2418,
IRL,LTINT,TOT,PC_PA,M,2021-02,-0.0551,
IRL,LTINT,TOT,PC_PA,M,2021-03,0.0276,
IRL,LTINT,TOT,PC_PA,M,2021-04,0.082,
IRL,LTINT,TOT,PC_PA,M,2021-05,0.2372,
IRL,LTINT,TOT,PC_PA,M,2021-06,0.1787,
IRL,LTINT,TOT,PC_PA,M,2021-07,0.0309,
IRL,LTINT,TOT,PC_PA,M,2021-08,-0.0788,
IRL,LTINT,TOT,PC_PA,M,2021-09,0.0674,
IRL,LTINT,TOT,PC_PA,M,2021-10,0.2224,
IRL,LTINT,TOT,PC_PA,M,2021-11,0.1876,
IRL,LTINT,TOT,PC_PA,M,2021-12,0.0998,
IRL,LTINT,TOT,PC_PA,M,2022-01,0.3803,
IRL,LTINT,TOT,PC_PA,M,2022-02,0.7751,
IRL,LTINT,TOT,PC_PA,M,2022-03,0.9293,
IRL,LTINT,TOT,PC_PA,M,2022-04,1.4021,
IRL,LTINT,TOT,PC_PA,M,2022-05,1.6275,
IRL,LTINT,TOT,PC_PA,M,2022-06,2.129,
IRL,LTINT,TOT,PC_PA,M,2022-07,1.7438,
IRL,LTINT,TOT,PC_PA,M,2022-08,1.71,
AUS,LTINT,TOT,PC_PA,M,2007-01,5.877619,
AUS,LTINT,TOT,PC_PA,M,2007-02,5.80925,
AUS,LTINT,TOT,PC_PA,M,2007-03,5.736818,
AUS,LTINT,TOT,PC_PA,M,2007-04,5.909722,
AUS,LTINT,TOT,PC_PA,M,2007-05,5.920869,
